driver_id,driver_name,age,experience_years,license_type,employment_type,home_province,performance_rating
5401,D005402,Lwazi Modise,31,32,Code 14,Permanent,KwaZulu-Natal,3.28
5402,D005403,Nomsa Mkhize,49,5,Code 14,Contract,Western Cape,3.55
5403,D005404,Nomsa Sithole,55,24,Code 14,Permanent,Eastern Cape,3.83
5404,D005405,Sibusiso Dlamini,29,17,Code 14,Contract,Western Cape,4.0
5405,D005406,Lwazi Botha,27,6,Code 10,Permanent,Gauteng,3.58
5406,D005407,Tshepo Molefe,34,12,Code 10,Owner Driver,Northern Cape,4.01
5407,D005408,Karabo Pillay,57,19,Code 8,Permanent,North West,4.44
5408,D005409,Nomsa Ngcobo,29,21,Code 14,Permanent,Northern Cape,3.77
5409,D005410,Sipho Mokoena,23,12,Code 8,Contract,North West,4.04
5410,D005411,Sipho Jacobs,56,2,Code 14,Owner Driver,Limpopo,3.26
5411,D005412,Lerato Van Wyk,54,18,Code 10,Contract,Mpumalanga,4.62
5412,D005413,Ayanda Cele,57,32,Code 14,Permanent,Northern Cape,3.76
5413,D005414,Thabo Mkhize,61,11,Code 8,Permanent,Mpumalanga,4.2
5414,D005415,Amanda Moyo,48,7,Code 10,Permanent,North West,4.06
5415,D005416,Kagiso Mahlangu,29,3,Code 10,Owner Driver,Western Cape,4.12
5416,D005417,Kabelo Molefe,40,16,Code 10,Permanent,Northern Cape,4.24
5417,D005418,Bongani Pillay,40,10,Code 10,Contract,Eastern Cape,4.04
5418,D005419,Themba Pillay,53,29,Code 10,Permanent,Limpopo,4.29
5419,D005420,Nandi Jacobs,50,4,Code 10,Permanent,Eastern Cape,3.23
5420,D005421,Karabo Van Wyk,63,19,Code 8,Contract,Free State,2.86
5421,D005422,Ayanda Modise,52,6,Code 10,Owner Driver,Free State,3.94
5422,D005423,Precious Van Wyk,41,17,Code 8,Owner Driver,Western Cape,3.89
5423,D005424,Siyabonga Ngcobo,57,2,Code 14,Contract,Eastern Cape,4.68
5424,D005425,Busisiwe Mkhize,25,5,Code 8,Owner Driver,Western Cape,4.51
5425,D005426,Tshepo Pillay,36,34,Code 10,Permanent,Eastern Cape,3.64
5426,D005427,Nomsa Mkhize,23,14,Code 10,Permanent,Limpopo,4.45
5427,D005428,Karabo Ngcobo,48,27,Code 10,Owner Driver,Western Cape,3.8
5428,D005429,Amanda Van Wyk,25,32,Code 10,Permanent,Western Cape,4.13
5429,D005430,Karabo Sithole,49,9,Code 10,Permanent,Limpopo,4.45
5430,D005431,Nandi Ndlovu,25,28,Code 10,Permanent,Eastern Cape,3.78
5431,D005432,Siyabonga Mkhize,26,9,Code 10,Owner Driver,Northern Cape,3.85
5432,D005433,Lindelwa Dlamini,24,12,Code 8,Owner Driver,Gauteng,3.51
5433,D005434,Lindelwa Nkosi,43,9,Code 8,Permanent,Eastern Cape,4.52
5434,D005435,Karabo Modise,48,1,Code 10,Owner Driver,Northern Cape,4.16
5435,D005436,Siyabonga Mabena,41,31,Code 10,Contract,Eastern Cape,4.55
5436,D005437,Bongani Nkosi,34,26,Code 10,Permanent,Western Cape,4.02
5437,D005438,Nandi Zulu,49,20,Code 10,Owner Driver,Northern Cape,4.08
5438,D005439,Ayanda Naidoo,57,28,Code 14,Permanent,KwaZulu-Natal,4.57
5439,D005440,Thabo Cele,35,32,Code 8,Permanent,Gauteng,3.95
5440,D005441,Tshepo Zulu,31,5,Code 10,Permanent,Gauteng,3.81
5441,D005442,Themba Modise,48,28,Code 8,Contract,Gauteng,3.79
5442,D005443,Busisiwe Zulu,42,9,Code 10,Contract,KwaZulu-Natal,3.19
5443,D005444,Kabelo Zulu,41,31,Code 10,Permanent,Gauteng,3.17
5444,D005445,Bongani Jacobs,45,1,Code 14,Contract,KwaZulu-Natal,4.52
5445,D005446,Thabo Mkhize,57,2,Code 10,Permanent,Mpumalanga,4.18
5446,D005447,Mandla Pillay,25,30,Code 10,Permanent,Western Cape,3.15
5447,D005448,Mandla Modise,24,15,Code 10,Permanent,Gauteng,3.01
5448,D005449,Nandi Khumalo,34,17,Code 10,Permanent,Northern Cape,3.74
5449,D005450,Kabelo Botha,54,28,Code 8,Owner Driver,Eastern Cape,4.31
5450,D005451,Kagiso Adams,29,2,Code 14,Permanent,Western Cape,4.44
5451,D005452,Kabelo Mthembu,48,15,Code 10,Permanent,Northern Cape,4.55
5452,D005453,Sipho Nkosi,31,15,Code 8,Permanent,Northern Cape,3.04
5453,D005454,Karabo Williams,28,16,Code 8,Permanent,KwaZulu-Natal,3.71
5454,D005455,Thabo Ndlovu,48,4,Code 14,Contract,North West,4.16
5455,D005456,Lwazi Cele,57,5,Code 8,Contract,Limpopo,4.17
5456,D005457,Phumzile Botha,57,19,Code 10,Permanent,Free State,3.46
5457,D005458,Siyabonga Botha,42,4,Code 8,Contract,Northern Cape,3.91
5458,D005459,Zanele Cele,27,3,Code 8,Contract,Mpumalanga,4.97
5459,D005460,Precious Maseko,23,25,Code 10,Contract,Eastern Cape,3.92
5460,D005461,Ayanda Maseko,25,9,Code 14,Owner Driver,North West,3.06
5461,D005462,Busisiwe Pillay,26,33,Code 8,Owner Driver,Northern Cape,3.84
5462,D005463,Sipho Zulu,32,24,Code 8,Owner Driver,Limpopo,3.97
5463,D005464,Ayanda Dlamini,65,19,Code 14,Contract,Eastern Cape,4.56
5464,D005465,Lerato Maseko,55,10,Code 14,Permanent,Mpumalanga,3.78
5465,D005466,Mpho Jacobs,51,26,Code 10,Permanent,Mpumalanga,4.66
5466,D005467,Kagiso Molefe,35,12,Code 10,Permanent,Limpopo,3.94
5467,D005468,Karabo Nkosi,25,17,Code 10,Permanent,Free State,3.79
5468,D005469,Phumzile Pillay,39,12,Code 8,Permanent,Free State,3.93
5469,D005470,Kagiso Cele,44,14,Code 14,Contract,Gauteng,4.49
5470,D005471,Nokuthula Mthembu,57,5,Code 10,Contract,North West,4.36
5471,D005472,Busisiwe Nkosi,46,7,Code 8,Permanent,Free State,3.93
5472,D005473,Tshepo Mokoena,40,27,Code 14,Permanent,Western Cape,3.26
5473,D005474,Ayanda Van Wyk,48,17,Code 10,Permanent,North West,4.46
5474,D005475,Mandla Jacobs,32,27,Code 10,Permanent,Limpopo,4.34
5475,D005476,Kagiso Naidoo,58,7,Code 10,Contract,North West,3.44
5476,D005477,Bongani Modise,52,10,Code 8,Owner Driver,Northern Cape,4.24
5477,D005478,Bongani Jacobs,27,26,Code 8,Contract,Limpopo,3.74
5478,D005479,Themba Ngcobo,51,17,Code 10,Permanent,Gauteng,3.13
5479,D005480,Kabelo Botha,47,2,Code 10,Permanent,Gauteng,3.07
5480,D005481,Phumzile Sithole,38,33,Code 8,Permanent,Limpopo,4.07
5481,D005482,Lindelwa Naidoo,26,9,Code 8,Contract,Eastern Cape,4.85
5482,D005483,Ayanda Ndlovu,27,12,Code 8,Permanent,Free State,4.74
5483,D005484,Precious Williams,56,12,Code 14,Owner Driver,Gauteng,4.53
5484,D005485,Themba Van Wyk,55,31,Code 14,Contract,Eastern Cape,4.2
5485,D005486,Nokuthula Mokoena,64,5,Code 8,Owner Driver,Eastern Cape,3.32
5486,D005487,Kabelo Dlamini,34,17,Code 10,Contract,Mpumalanga,3.74
5487,D005488,Nomsa Sithole,61,13,Code 10,Owner Driver,North West,4.31
5488,D005489,Zanele Van Wyk,50,31,Code 14,Permanent,North West,3.73
5489,D005490,Zanele Naidoo,46,5,Code 8,Owner Driver,Limpopo,4.02
5490,D005491,Nomsa Jacobs,27,12,Code 10,Owner Driver,Northern Cape,4.06
5491,D005492,Nomsa Williams,54,11,Code 14,Permanent,Gauteng,4.59
5492,D005493,Thabo Khumalo,52,31,Code 10,Permanent,Eastern Cape,4.03
5493,D005494,Kabelo Maseko,63,3,Code 8,Permanent,Western Cape,3.51
5494,D005495,Busisiwe Ndlovu,42,5,Code 10,Permanent,KwaZulu-Natal,4.18
5495,D005496,Busisiwe Mabena,64,7,Code 10,Permanent,North West,4.88
5496,D005497,Lwazi Mahlangu,41,29,Code 8,Contract,KwaZulu-Natal,3.32
5497,D005498,Precious Mokoena,28,6,Code 8,Contract,Gauteng,3.93
5498,D005499,Lerato Williams,64,30,Code 8,Permanent,Western Cape,3.22
5499,D005500,Amanda Mahlangu,28,24,Code 8,Permanent,North West,3.48
5500,D005501,Thabo Mabena,44,5,Code 8,Permanent,Western Cape,3.66
5501,D005502,Phumzile Botha,29,22,Code 8,Permanent,Mpumalanga,3.36
5502,D005503,Ayanda Botha,42,32,Code 10,Owner Driver,Gauteng,3.3
5503,D005504,Nokuthula Modise,31,6,Code 14,Permanent,Free State,4.05
5504,D005505,Nomsa Naidoo,45,13,Code 8,Owner Driver,Northern Cape,3.74
5505,D005506,Lindelwa Adams,54,21,Code 8,Permanent,Northern Cape,4.19
5506,D005507,Nomsa Adams,57,9,Code 10,Contract,KwaZulu-Natal,3.63
5507,D005508,Precious Mthembu,50,34,Code 10,Owner Driver,North West,4.32
5508,D005509,Lwazi Mabena,37,1,Code 10,Permanent,Mpumalanga,4.06
5509,D005510,Tshepo Cele,25,29,Code 10,Permanent,Free State,3.43
5510,D005511,Busisiwe Williams,32,22,Code 10,Owner Driver,KwaZulu-Natal,3.45
5511,D005512,Bongani Maseko,65,10,Code 8,Contract,Northern Cape,3.78
5512,D005513,Nokuthula Adams,50,3,Code 10,Contract,Gauteng,4.3
5513,D005514,Sipho Ndlovu,27,34,Code 8,Contract,Mpumalanga,3.84
5514,D005515,Zanele Molefe,24,29,Code 10,Owner Driver,Mpumalanga,3.3
5515,D005516,Tshepo Naidoo,28,9,Code 8,Permanent,KwaZulu-Natal,4.36
5516,D005517,Ayanda Pillay,60,17,Code 8,Permanent,Gauteng,3.78
5517,D005518,Ayanda Nkosi,25,24,Code 8,Owner Driver,Free State,4.07
5518,D005519,Siyabonga Williams,32,27,Code 14,Owner Driver,Northern Cape,2.9
5519,D005520,Ayanda Mthembu,46,21,Code 10,Owner Driver,Free State,3.45
5520,D005521,Thabo Maseko,43,24,Code 10,Permanent,Limpopo,3.83
5521,D005522,Siyabonga Williams,60,24,Code 10,Contract,Limpopo,3.87
5522,D005523,Amanda Khumalo,29,28,Code 10,Permanent,Eastern Cape,4.3
5523,D005524,Dumisani Nkosi,42,9,Code 10,Permanent,Mpumalanga,3.78
5524,D005525,Tshepo Jacobs,29,13,Code 8,Contract,Eastern Cape,3.52
5525,D005526,Zanele Adams,31,7,Code 10,Owner Driver,Limpopo,4.31
5526,D005527,Kabelo Williams,49,33,Code 10,Permanent,Gauteng,4.63
5527,D005528,Sibusiso Mabena,55,5,Code 8,Owner Driver,Northern Cape,4.28
5528,D005529,Sipho Zulu,41,34,Code 8,Permanent,Northern Cape,3.6
5529,D005530,Phumzile Mokoena,47,34,Code 10,Permanent,Free State,4.32
5530,D005531,Karabo Zulu,30,14,Code 10,Permanent,Northern Cape,4.35
5531,D005532,Nandi Williams,62,9,Code 8,Permanent,Gauteng,3.44
5532,D005533,Amanda Pillay,48,30,Code 8,Contract,Mpumalanga,3.17
5533,D005534,Thabo Naidoo,36,19,Code 10,Permanent,Free State,4.36
5534,D005535,Tshepo Jacobs,23,14,Code 8,Permanent,Eastern Cape,4.17
5535,D005536,Busisiwe Mahlangu,37,28,Code 10,Owner Driver,Western Cape,3.59
5536,D005537,Ayanda Mkhize,45,26,Code 14,Permanent,Limpopo,3.74
5537,D005538,Ayanda Mthembu,45,14,Code 10,Contract,Western Cape,3.81
5538,D005539,Lindelwa Ndlovu,58,30,Code 8,Permanent,Free State,3.27
5539,D005540,Mandla Modise,45,10,Code 8,Owner Driver,Gauteng,3.42
5540,D005541,Mpho Ndlovu,33,31,Code 10,Permanent,Free State,3.82
5541,D005542,Lwazi Mkhize,30,33,Code 10,Contract,KwaZulu-Natal,4.26
5542,D005543,Amanda Adams,23,1,Code 10,Owner Driver,KwaZulu-Natal,3.98
5543,D005544,Nokuthula Mkhize,51,26,Code 14,Contract,KwaZulu-Natal,4.27
5544,D005545,Sipho Maseko,40,15,Code 10,Contract,Western Cape,4.21
5545,D005546,Lerato Mkhize,55,28,Code 10,Permanent,Gauteng,3.43
5546,D005547,Thabo Van Wyk,51,24,Code 10,Permanent,Western Cape,3.67
5547,D005548,Lwazi Mahlangu,48,2,Code 14,Permanent,North West,3.54
5548,D005549,Karabo Khumalo,58,25,Code 10,Permanent,Limpopo,3.36
5549,D005550,Kagiso Pillay,56,30,Code 10,Owner Driver,Limpopo,4.21
5550,D005551,Siyabonga Molefe,49,9,Code 10,Contract,KwaZulu-Natal,3.59
5551,D005552,Sipho Mthembu,65,6,Code 10,Contract,North West,3.39
5552,D005553,Kabelo Khumalo,50,7,Code 10,Contract,Limpopo,3.93
5553,D005554,Ayanda Ngcobo,51,28,Code 10,Owner Driver,Mpumalanga,4.44
5554,D005555,Ayanda Botha,30,32,Code 8,Contract,Northern Cape,4.03
5555,D005556,Karabo Moyo,46,34,Code 8,Permanent,Free State,3.44
5556,D005557,Zanele Moyo,60,25,Code 14,Permanent,Limpopo,5.0
5557,D005558,Lwazi Van Wyk,42,6,Code 10,Permanent,Western Cape,3.64
5558,D005559,Mpho Adams,39,13,Code 8,Contract,KwaZulu-Natal,3.53
5559,D005560,Ayanda Sithole,37,15,Code 8,Owner Driver,Northern Cape,4.51
5560,D005561,Thabo Mahlangu,25,32,Code 8,Contract,Mpumalanga,4.62
5561,D005562,Ayanda Modise,42,24,Code 14,Contract,Mpumalanga,3.89
5562,D005563,Kabelo Adams,64,27,Code 14,Permanent,Gauteng,2.94
5563,D005564,Themba Mokoena,33,2,Code 8,Owner Driver,Limpopo,4.32
5564,D005565,Zanele Botha,35,7,Code 8,Permanent,North West,3.32
5565,D005566,Nomsa Van Wyk,45,10,Code 8,Contract,North West,4.69
5566,D005567,Lwazi Mthembu,25,10,Code 14,Permanent,Gauteng,3.77
5567,D005568,Nomsa Dlamini,38,21,Code 14,Owner Driver,Gauteng,3.87
5568,D005569,Lwazi Maseko,32,26,Code 10,Permanent,North West,3.89
5569,D005570,Themba Ngcobo,52,16,Code 10,Permanent,Northern Cape,4.52
5570,D005571,Kagiso Ndlovu,64,34,Code 10,Permanent,KwaZulu-Natal,4.26
5571,D005572,Sipho Mokoena,51,22,Code 14,Permanent,Northern Cape,3.94
5572,D005573,Zanele Modise,41,8,Code 10,Permanent,Mpumalanga,4.41
5573,D005574,Ayanda Naidoo,33,11,Code 14,Contract,Northern Cape,4.47
5574,D005575,Precious Zulu,34,2,Code 14,Owner Driver,Northern Cape,4.22
5575,D005576,Lwazi Mokoena,59,20,Code 8,Contract,Free State,4.73
5576,D005577,Bongani Dlamini,31,34,Code 8,Owner Driver,Eastern Cape,4.11
5577,D005578,Zanele Van Wyk,55,7,Code 8,Permanent,Northern Cape,4.06
5578,D005579,Dumisani Sithole,59,6,Code 14,Permanent,North West,4.51
5579,D005580,Amanda Dlamini,61,32,Code 8,Permanent,KwaZulu-Natal,2.71
5580,D005581,Bongani Williams,56,27,Code 14,Owner Driver,Gauteng,4.34
5581,D005582,Ayanda Mahlangu,64,8,Code 10,Contract,Mpumalanga,4.47
5582,D005583,Nandi Molefe,36,25,Code 14,Permanent,Northern Cape,3.61
5583,D005584,Lerato Dlamini,56,5,Code 14,Permanent,Western Cape,3.99
5584,D005585,Sipho Maseko,52,26,Code 10,Permanent,KwaZulu-Natal,2.95
5585,D005586,Amanda Mokoena,60,30,Code 10,Contract,Northern Cape,4.04
5586,D005587,Sibusiso Mokoena,65,7,Code 10,Permanent,Limpopo,4.07
5587,D005588,Kabelo Cele,40,16,Code 10,Permanent,Mpumalanga,4.26
5588,D005589,Lerato Ndlovu,47,26,Code 8,Owner Driver,Western Cape,3.76
5589,D005590,Tshepo Botha,32,8,Code 14,Permanent,North West,4.03
5590,D005591,Siyabonga Nkosi,45,33,Code 10,Owner Driver,Western Cape,4.38
5591,D005592,Kagiso Mkhize,29,17,Code 8,Contract,Western Cape,4.24
5592,D005593,Mandla Zulu,27,17,Code 14,Permanent,Eastern Cape,3.8
5593,D005594,Amanda Ndlovu,34,27,Code 8,Permanent,Gauteng,4.06
5594,D005595,Ayanda Dlamini,32,27,Code 14,Owner Driver,Northern Cape,3.72
5595,D005596,Thabo Ndlovu,23,30,Code 10,Contract,Eastern Cape,3.81
5596,D005597,Mandla Mokoena,53,34,Code 8,Owner Driver,Western Cape,3.58
5597,D005598,Thabo Mabena,51,33,Code 14,Permanent,Mpumalanga,3.85
5598,D005599,Busisiwe Naidoo,40,3,Code 10,Contract,Western Cape,3.25
5599,D005600,Karabo Botha,43,23,Code 8,Owner Driver,Gauteng,5.0
5600,D005601,Dumisani Maseko,50,31,Code 10,Owner Driver,Eastern Cape,4.28
5601,D005602,Tshepo Ndlovu,33,18,Code 8,Owner Driver,Free State,3.75
5602,D005603,Sipho Pillay,28,9,Code 14,Permanent,Gauteng,3.42
5603,D005604,Siyabonga Ndlovu,25,18,Code 10,Owner Driver,Mpumalanga,4.03
5604,D005605,Themba Jacobs,26,2,Code 14,Permanent,Mpumalanga,4.54
5605,D005606,Ayanda Williams,44,31,Code 8,Permanent,Limpopo,4.63
5606,D005607,Bongani Molefe,42,18,Code 10,Permanent,Eastern Cape,3.55
5607,D005608,Sibusiso Mkhize,53,21,Code 8,Permanent,Eastern Cape,4.37
5608,D005609,Nandi Maseko,48,31,Code 14,Permanent,North West,4.69
5609,D005610,Tshepo Maseko,39,7,Code 10,Permanent,Gauteng,4.57
5610,D005611,Mpho Molefe,51,29,Code 14,Owner Driver,Free State,3.94
5611,D005612,Zanele Pillay,27,3,Code 10,Contract,KwaZulu-Natal,5.0
5612,D005613,Siyabonga Botha,45,5,Code 8,Contract,Mpumalanga,3.56
5613,D005614,Sipho Zulu,31,9,Code 14,Owner Driver,Western Cape,4.04
5614,D005615,Siyabonga Mahlangu,31,34,Code 10,Permanent,Northern Cape,3.84
5615,D005616,Mandla Nkosi,60,19,Code 8,Permanent,Eastern Cape,3.54
5616,D005617,Busisiwe Mabena,54,6,Code 10,Permanent,KwaZulu-Natal,4.17
5617,D005618,Sibusiso Ngcobo,49,14,Code 8,Owner Driver,Eastern Cape,3.77
5618,D005619,Nandi Modise,64,16,Code 10,Contract,Free State,3.52
5619,D005620,Precious Modise,53,32,Code 8,Owner Driver,Western Cape,3.75
5620,D005621,Nandi Williams,53,20,Code 8,Permanent,Mpumalanga,3.56
5621,D005622,Busisiwe Naidoo,43,16,Code 8,Permanent,Western Cape,3.97
5622,D005623,Lerato Van Wyk,38,9,Code 10,Permanent,Mpumalanga,3.33
5623,D005624,Karabo Khumalo,27,23,Code 8,Contract,Eastern Cape,2.84
5624,D005625,Themba Pillay,31,9,Code 8,Contract,North West,4.31
5625,D005626,Mpho Dlamini,48,14,Code 10,Contract,Gauteng,3.18
5626,D005627,Phumzile Dlamini,23,28,Code 10,Owner Driver,Mpumalanga,3.57
5627,D005628,Themba Botha,54,19,Code 10,Permanent,Gauteng,3.91
5628,D005629,Lindelwa Moyo,32,23,Code 10,Owner Driver,Western Cape,3.99
5629,D005630,Karabo Pillay,59,12,Code 10,Permanent,Eastern Cape,4.56
5630,D005631,Mandla Mabena,24,12,Code 14,Permanent,Free State,4.53
5631,D005632,Nandi Van Wyk,50,32,Code 10,Permanent,KwaZulu-Natal,4.8
5632,D005633,Sibusiso Botha,57,28,Code 10,Permanent,Northern Cape,3.42
5633,D005634,Karabo Ndlovu,43,32,Code 14,Permanent,Limpopo,4.66
5634,D005635,Lindelwa Mabena,28,9,Code 8,Permanent,Mpumalanga,3.79
5635,D005636,Thabo Adams,34,13,Code 8,Contract,Free State,3.73
5636,D005637,Sipho Pillay,36,21,Code 10,Permanent,KwaZulu-Natal,4.4
5637,D005638,Phumzile Zulu,57,8,Code 10,Owner Driver,Mpumalanga,4.4
5638,D005639,Nandi Mahlangu,43,18,Code 10,Owner Driver,Western Cape,5.0
5639,D005640,Kabelo Dlamini,63,19,Code 14,Permanent,Western Cape,2.75
5640,D005641,Lwazi Mabena,28,33,Code 14,Owner Driver,Free State,3.99
5641,D005642,Themba Jacobs,23,7,Code 8,Permanent,Western Cape,3.61
5642,D005643,Dumisani Mabena,42,6,Code 10,Owner Driver,Limpopo,4.28
5643,D005644,Phumzile Dlamini,63,18,Code 8,Owner Driver,Free State,4.27
5644,D005645,Karabo Mthembu,53,1,Code 14,Contract,Limpopo,3.72
5645,D005646,Sipho Dlamini,31,18,Code 14,Permanent,Gauteng,3.29
5646,D005647,Lindelwa Cele,62,20,Code 10,Permanent,Free State,4.78
5647,D005648,Dumisani Moyo,34,10,Code 14,Owner Driver,Northern Cape,4.04
5648,D005649,Mpho Mahlangu,45,2,Code 14,Permanent,KwaZulu-Natal,4.1
5649,D005650,Nandi Mthembu,41,27,Code 10,Contract,North West,3.91
5650,D005651,Kabelo Mahlangu,47,1,Code 8,Permanent,North West,4.24
5651,D005652,Bongani Dlamini,46,13,Code 10,Contract,Limpopo,4.32
5652,D005653,Bongani Sithole,48,30,Code 10,Contract,Mpumalanga,4.47
5653,D005654,Precious Botha,65,33,Code 8,Permanent,Limpopo,4.72
5654,D005655,Dumisani Botha,42,9,Code 8,Contract,North West,4.48
5655,D005656,Zanele Maseko,58,20,Code 10,Contract,Mpumalanga,3.89
5656,D005657,Sibusiso Khumalo,32,3,Code 8,Permanent,Northern Cape,4.47
5657,D005658,Mandla Zulu,47,26,Code 10,Permanent,Western Cape,3.86
5658,D005659,Nokuthula Molefe,47,31,Code 8,Permanent,Eastern Cape,5.0
5659,D005660,Lerato Mokoena,23,9,Code 8,Permanent,North West,3.71
5660,D005661,Mandla Dlamini,37,29,Code 10,Permanent,Northern Cape,3.59
5661,D005662,Sibusiso Zulu,38,23,Code 8,Permanent,Northern Cape,4.25
5662,D005663,Amanda Ngcobo,36,30,Code 10,Permanent,Free State,3.96
5663,D005664,Kagiso Cele,50,15,Code 10,Permanent,Gauteng,4.48
5664,D005665,Sibusiso Adams,32,1,Code 14,Permanent,Mpumalanga,4.34
5665,D005666,Mandla Mkhize,54,16,Code 10,Owner Driver,Limpopo,3.61
5666,D005667,Dumisani Mokoena,24,20,Code 10,Owner Driver,Limpopo,3.61
5667,D005668,Dumisani Pillay,51,28,Code 8,Owner Driver,Northern Cape,3.94
5668,D005669,Zanele Khumalo,40,27,Code 8,Contract,Gauteng,4.33
5669,D005670,Dumisani Sithole,59,18,Code 10,Permanent,Western Cape,3.25
5670,D005671,Lindelwa Naidoo,52,30,Code 8,Permanent,Mpumalanga,3.02
5671,D005672,Bongani Cele,48,21,Code 8,Contract,Mpumalanga,3.85
5672,D005673,Siyabonga Mahlangu,56,15,Code 10,Owner Driver,North West,3.85
5673,D005674,Siyabonga Williams,34,12,Code 8,Contract,North West,4.38
5674,D005675,Lwazi Van Wyk,40,3,Code 8,Owner Driver,Eastern Cape,4.79
5675,D005676,Precious Khumalo,35,6,Code 10,Permanent,Western Cape,3.47
5676,D005677,Nomsa Naidoo,58,7,Code 10,Permanent,North West,3.65
5677,D005678,Nomsa Molefe,64,14,Code 10,Permanent,Mpumalanga,3.68
5678,D005679,Themba Khumalo,48,12,Code 10,Contract,Free State,3.97
5679,D005680,Dumisani Naidoo,61,5,Code 10,Permanent,Northern Cape,3.27
5680,D005681,Mpho Mkhize,53,27,Code 10,Contract,Mpumalanga,3.86
5681,D005682,Sibusiso Botha,55,30,Code 8,Permanent,Limpopo,4.15
5682,D005683,Kabelo Ngcobo,52,15,Code 8,Permanent,Limpopo,3.57
5683,D005684,Mandla Cele,52,23,Code 10,Contract,Limpopo,3.6
5684,D005685,Amanda Nkosi,44,7,Code 14,Permanent,Northern Cape,2.87
5685,D005686,Lindelwa Adams,50,12,Code 8,Owner Driver,Free State,4.37
5686,D005687,Nomsa Mthembu,23,15,Code 8,Contract,Gauteng,4.11
5687,D005688,Siyabonga Mthembu,46,8,Code 10,Owner Driver,Mpumalanga,3.92
5688,D005689,Lindelwa Sithole,50,32,Code 10,Permanent,Northern Cape,4.29
5689,D005690,Siyabonga Williams,23,5,Code 10,Permanent,Limpopo,4.47
5690,D005691,Amanda Khumalo,33,6,Code 8,Permanent,Limpopo,3.8
5691,D005692,Zanele Cele,38,5,Code 8,Permanent,Mpumalanga,3.59
5692,D005693,Busisiwe Sithole,51,13,Code 8,Contract,Free State,4.17
5693,D005694,Sibusiso Nkosi,39,33,Code 10,Permanent,Mpumalanga,4.7
5694,D005695,Lerato Mabena,27,15,Code 10,Owner Driver,Free State,3.82
5695,D005696,Nandi Mthembu,34,26,Code 10,Permanent,Northern Cape,3.55
5696,D005697,Nomsa Van Wyk,40,7,Code 8,Permanent,North West,4.8
5697,D005698,Busisiwe Van Wyk,35,17,Code 8,Owner Driver,Gauteng,4.29
5698,D005699,Nandi Moyo,59,6,Code 10,Permanent,Eastern Cape,3.58
5699,D005700,Kabelo Modise,62,5,Code 8,Permanent,Northern Cape,3.85
5700,D005701,Kagiso Molefe,62,11,Code 10,Permanent,North West,3.34
5701,D005702,Busisiwe Modise,44,21,Code 10,Permanent,North West,4.05
5702,D005703,Nokuthula Van Wyk,24,28,Code 10,Owner Driver,Western Cape,3.5
5703,D005704,Tshepo Sithole,60,30,Code 10,Owner Driver,Gauteng,4.67
5704,D005705,Karabo Khumalo,64,15,Code 10,Owner Driver,North West,3.23
5705,D005706,Themba Mahlangu,56,17,Code 10,Permanent,Limpopo,4.27
5706,D005707,Nandi Moyo,58,7,Code 10,Permanent,Gauteng,3.78
5707,D005708,Sibusiso Modise,61,20,Code 10,Owner Driver,Free State,3.85
5708,D005709,Lerato Zulu,28,18,Code 8,Permanent,Mpumalanga,4.69
5709,D005710,Lerato Naidoo,59,23,Code 8,Permanent,Free State,3.58
5710,D005711,Sibusiso Khumalo,24,11,Code 10,Permanent,Eastern Cape,3.28
5711,D005712,Busisiwe Mabena,44,28,Code 14,Permanent,KwaZulu-Natal,3.55
5712,D005713,Dumisani Ndlovu,55,17,Code 10,Contract,Mpumalanga,3.71
5713,D005714,Busisiwe Adams,39,20,Code 8,Permanent,North West,3.81
5714,D005715,Dumisani Jacobs,42,23,Code 10,Owner Driver,North West,3.94
5715,D005716,Busisiwe Mahlangu,59,8,Code 10,Owner Driver,Northern Cape,3.65
5716,D005717,Sipho Dlamini,23,34,Code 10,Permanent,Eastern Cape,4.99
5717,D005718,Kabelo Cele,51,16,Code 10,Permanent,Limpopo,3.81
5718,D005719,Lwazi Mahlangu,47,21,Code 10,Contract,Western Cape,3.84
5719,D005720,Thabo Ndlovu,29,34,Code 8,Permanent,Mpumalanga,3.56
5720,D005721,Bongani Molefe,34,27,Code 10,Owner Driver,Western Cape,3.65
5721,D005722,Karabo Mabena,26,8,Code 10,Permanent,Western Cape,3.78
5722,D005723,Karabo Zulu,40,30,Code 10,Contract,Mpumalanga,4.36
5723,D005724,Zanele Khumalo,59,9,Code 8,Permanent,Limpopo,3.66
5724,D005725,Sipho Williams,32,22,Code 14,Permanent,Mpumalanga,4.53
5725,D005726,Bongani Cele,32,16,Code 10,Owner Driver,Limpopo,4.0
5726,D005727,Bongani Mahlangu,50,34,Code 14,Permanent,KwaZulu-Natal,4.04
5727,D005728,Lindelwa Maseko,41,27,Code 10,Permanent,Northern Cape,4.69
5728,D005729,Mpho Ngcobo,31,26,Code 8,Contract,Western Cape,3.15
5729,D005730,Siyabonga Khumalo,45,31,Code 10,Contract,North West,5.0
5730,D005731,Ayanda Naidoo,59,26,Code 14,Contract,Eastern Cape,3.93
5731,D005732,Karabo Sithole,60,26,Code 10,Contract,Free State,2.93
5732,D005733,Nandi Sithole,25,12,Code 10,Permanent,North West,3.76
5733,D005734,Bongani Mabena,36,6,Code 14,Owner Driver,Gauteng,3.23
5734,D005735,Kabelo Jacobs,31,11,Code 10,Permanent,North West,3.92
